user_id,name,age,gender,location,latitude,longitude,interests,about_me,relationship_goal,personality,MBTI,likes,swipes,messages_sent,response_rate,signup_date,education_level,occupation,zodiac_sign,height_cm,body_type,languages_spoken,dating_preference,likes_received,photo_count,is_verified,daily_active_minutes,last_login,is_premium_user
1,Michael Graves,47,Non-binary,Austin,33.749001,-97.743061,"technology, gaming, travel",Central mother out easy style audience receive research too should whether.,Friends,Introvert,ESTP,"[291, 284, 797, 61, 533, 703, 879, 402, 602, 337]",172,20,0.95,2023-01-22,PhD,Biomedical scientist,Pisces,162,Average,"English, French, Mandarin",Men,67,5,False,64,2024-03-15,False
2,James Hutchinson,49,F,Atlanta,42.360081,-121.886329,"art, reading, gaming",Crime level because position claim those condition matter adult under.,Long-term,Extrovert,ISFJ,"[46, 133, 434, 831, 774, 534, 253]",88,3,0.91,2023-12-11,Bachelor’s,"Librarian, academic",Capricorn,171,Curvy,Mandarin,Women,67,5,True,49,2024-03-13,True
3,Shawn Norris,49,Non-binary,Chicago,33.448376,-96.796989,"photography, fitness, music",Article per history likely professional activity husband impact hand work.,Networking,Extrovert,ENFP,"[734, 715, 1000, 251, 45, 2, 697, 153, 360, 322, 873]",145,87,0.75,2023-09-26,PhD,"Scientist, marine",Taurus,150,Athletic,"French, Spanish",Men,13,1,True,2,2024-03-01,False
4,James Baird,49,Non-binary,Dallas,35.779591,-81.694361,"technology, gaming, sports",Writer how father worker sea plant help maintain realize group lay against.,Friends,Ambivert,ESTP,"[416, 729, 340, 740, 193, 793, 845, 968, 205]",434,0,0.64,2024-01-10,High School,"Research officer, political party",Pisces,180,Curvy,"English, French",Men,85,3,False,23,2024-03-05,True
5,James Hicks,44,Non-binary,Houston,29.760427,-93.265015,"fitness, technology, photography",None easy near alone difficult program important appear bed care.,Long-term,Extrovert,INTP,"[118, 659, 453, 197, 117, 21, 617, 881, 644]",465,26,0.9,2023-01-01,Bachelor’s,"Surveyor, land/geomatics",Leo,194,Athletic,"French, Mandarin",Everyone,88,2,True,111,2024-03-22,False
6,Molly Wall,22,Non-binary,Houston,32.715736,-118.243683,"fitness, travel, photography",National trouble trade old he who key measure keep anyone market.,Casual Dating,Extrovert,ISTJ,"[873, 274, 569, 945, 730, 9, 747, 195, 588, 244, 440]",265,6,0.56,2024-01-02,PhD,Barrister's clerk,Leo,166,Average,"English, French",Everyone,38,1,False,16,2024-03-22,False
7,Elizabeth Escobar,46,F,Columbus,41.878113,-95.369804,"art, music, fitness",Manage city list doctor see international become deep shoulder season issue prevent.,Casual Dating,Ambivert,ENTP,"[673, 509, 551, 678, 968, 508, 341, 619]",11,26,0.87,2023-08-30,PhD,Medical physicist,Pisces,176,Average,"English, Mandarin, Spanish",Women,80,2,False,32,2024-03-27,False
8,Carl Garcia,33,Non-binary,Denver,40.760779,-74.005974,"sports, fitness, reading",Major light development customer dog various teacher first how skill between.,Networking,Ambivert,ENFP,"[666, 387, 962, 213, 112, 689, 776, 517, 134, 79, 712, 690, 833, 303, 440]",360,17,0.96,2023-11-12,Master’s,Product designer,Gemini,193,Athletic,French,Men,66,5,True,1,2024-03-28,False
9,Donald Valdez,33,F,Cleveland,47.606209,-115.139832,"photography, travel, music",Reduce current my case total nature heart both.,Casual Dating,Introvert,ISFJ,"[52, 448, 51, 676, 392]",357,45,0.22,2023-10-21,PhD,Speech and language therapist,Gemini,190,Average,"French, English, Mandarin",Women,76,6,False,35,2024-03-22,False
10,Eric Flynn,25,F,Philadelphia,42.331427,-84.387978,"sports, photography, fitness",Attention treat many world general smile run reflect.,Long-term,Extrovert,ESFJ,"[957, 527, 964, 450, 973, 739, 482]",393,82,0.56,2023-07-07,Bachelor’s,Chief Marketing Officer,Libra,197,Curvy,English,Everyone,58,3,True,95,2024-03-07,False
11,Ronald Anderson,49,M,Minneapolis,36.169941,-98.493629,"sports, music, technology",Writer ever poor half car assume assume evidence culture.,Casual Dating,Ambivert,ENTP,"[742, 190, 386, 611, 511, 380, 731]",159,93,0.28,2023-12-16,Master’s,Cytogeneticist,Capricorn,153,Average,French,Everyone,70,5,True,87,2024-03-24,False
12,Nicole Rhodes,33,Non-binary,San Jose,45.515232,-115.139832,"cooking, art, gaming",Think pass know challenge focus range more media push.,Friends,Ambivert,ISFJ,"[558, 384, 913, 385, 77, 792, 148, 986]",198,2,0.89,2024-02-28,Master’s,Control and instrumentation engineer,Virgo,157,Curvy,"English, French",Men,73,5,False,104,2024-03-26,True
13,Leah Miller,38,Non-binary,Atlanta,34.052235,-117.161087,"technology, fitness, photography",Well agreement skin week star focus daughter.,Long-term,Ambivert,ISFJ,"[762, 240, 191, 810, 710, 301, 936, 295, 943, 300]",11,2,0.91,2024-02-05,High School,Fast food restaurant manager,Leo,178,Slim,"French, Mandarin",Everyone,93,2,False,108,2024-03-15,True
14,David Boyer,23,M,Phoenix,29.424122,-82.998794,"music, fitness, photography",Research difficult feeling spring agency wrong house tough name.,Long-term,Extrovert,ISTJ,"[238, 559, 30, 707, 8, 952, 15, 804, 213]",451,86,0.91,2024-02-29,High School,Furniture designer,Cancer,153,Athletic,Hindi,Women,55,4,True,69,2024-03-05,False
15,Crystal Thomas,43,Non-binary,Las Vegas,39.099727,-112.074036,"photography, gaming, art",Lose whose challenge question against move describe.,Long-term,Extrovert,INTP,"[203, 79, 442, 27, 949]",203,50,0.67,2023-06-03,Bachelor’s,Financial risk analyst,Leo,186,Slim,"Mandarin, French",Women,16,1,False,33,2024-03-18,False
16,Shawn Durham,46,M,Miami,40.712776,-75.165222,"technology, gaming, cooking",Find cover security fly than foot tend culture really body PM light act.,Casual Dating,Ambivert,INFJ,"[832, 51, 107, 877, 48, 206, 32, 630, 371, 735, 539]",450,0,0.36,2023-10-31,Bachelor’s,Bookseller,Scorpio,184,Average,"Spanish, French, Hindi",Men,75,1,False,115,2024-03-02,False
17,Antonio Cox,24,M,Salt Lake City,33.448376,-80.19179,"photography, cooking, fitness",Garden standard turn listen have activity lawyer similar all positive president set early.,Long-term,Ambivert,ESFJ,"[833, 627, 989, 977, 963, 926, 122, 531, 839]",61,33,0.97,2023-01-21,PhD,Lexicographer,Capricorn,178,Average,"Hindi, Mandarin, French",Men,14,2,False,20,2024-03-06,False
18,Kelli George,32,F,Denver,38.581572,-93.265015,"art, gaming, travel",Scene country identify move give a magazine visit little note enjoy.,Friends,Introvert,INFJ,"[987, 830, 799, 795, 262, 978, 464, 421]",342,97,0.81,2023-04-30,Master’s,Sales promotion account executive,Aries,199,Slim,Mandarin,Men,32,5,True,70,2024-03-15,False
19,Jasmine Martin,41,M,Philadelphia,39.739236,-81.694361,"reading, sports, travel",Eye watch watch test chance myself standard.,Casual Dating,Introvert,ISTJ,"[4, 842, 200, 44, 685, 214, 898]",39,3,0.43,2023-07-26,Master’s,"Buyer, retail",Gemini,153,Average,"Hindi, Spanish, English",Everyone,76,4,True,3,2024-03-31,True
20,Ronnie Hobbs,33,F,Austin,25.76168,-117.161087,"travel, art, gaming",Dog feeling room including American state.,Networking,Extrovert,ISFJ,"[981, 24, 43, 77, 430, 567, 534, 817]",113,31,0.84,2023-01-13,High School,"Engineer, broadcasting (operations)",Aquarius,155,Average,Hindi,Everyone,8,2,True,5,2024-03-14,True
21,Jerome Nguyen,21,M,Detroit,44.977753,-74.005974,"music, art, photography",Serious subject art able tax trial.,Networking,Ambivert,ESFJ,"[394, 527, 949, 524, 772, 408, 95, 817, 982]",162,46,0.94,2024-01-24,PhD,"Solicitor, Scotland",Taurus,159,Athletic,French,Everyone,33,6,False,111,2024-03-09,False
22,Alicia Williams,36,F,Chicago,28.538336,-115.139832,"gaming, music, cooking",Else recent report all bring three important history.,Long-term,Introvert,ESFJ,"[501, 900, 685, 283, 190, 365, 372, 626, 146, 367, 807, 36, 206, 289]",393,11,0.98,2023-10-25,High School,Garment/textile technologist,Sagittarius,158,Athletic,"English, French",Men,61,5,False,101,2024-03-05,False
23,Christy Lopez,37,Non-binary,Columbus,39.768403,-74.005974,"fitness, music, travel",Natural dream land bad individual nothing produce practice appear agency activity space cover.,Casual Dating,Extrovert,INFJ,"[457, 793, 593, 309, 730, 595, 591, 347, 502, 155, 256, 312, 944, 430]",434,23,0.52,2023-11-05,Master’s,Naval architect,Sagittarius,160,Curvy,English,Men,50,1,True,7,2024-03-18,False
24,Nicholas Santiago,39,M,Philadelphia,28.538336,-74.005974,"photography, art, reading",Success class billion president let off.,Friends,Introvert,INTP,"[817, 958, 962, 267, 517, 618, 672, 414, 170, 196, 790, 60, 105]",32,48,0.24,2023-11-13,Bachelor’s,Banker,Cancer,153,Athletic,"English, Mandarin, Spanish",Everyone,76,6,True,32,2024-03-29,False
25,Lori Elliott,30,M,Indianapolis,39.952583,-112.074036,"sports, cooking, music",Yeah fill series serve change main.,Casual Dating,Ambivert,ESTP,"[946, 684, 29, 205, 156, 894, 998, 508, 586]",323,17,0.44,2023-12-03,Bachelor’s,Television floor manager,Libra,191,Athletic,"Mandarin, Hindi, Spanish",Women,39,1,True,38,2024-03-28,False
26,Jessica Deleon,30,Non-binary,Seattle,33.749001,-80.19179,"reading, sports, music",Land free learn five reality administration reflect foot.,Networking,Ambivert,ENTP,"[845, 391, 28, 343, 246, 556, 862, 274]",51,74,0.95,2023-01-13,PhD,Training and development officer,Sagittarius,169,Curvy,"French, Mandarin",Women,0,4,False,37,2024-03-04,False
27,Terri Bailey DDS,37,M,Cleveland,45.515232,-104.990251,"travel, cooking, gaming",Various rest bill study practice four way bar.,Networking,Extrovert,ISTJ,"[240, 492, 293, 573, 600, 871, 97, 686, 852, 885, 727, 778]",190,100,0.24,2023-12-17,Master’s,Architectural technologist,Taurus,156,Curvy,"French, English, Mandarin",Everyone,2,1,True,16,2024-03-06,False
28,Ryan Collier,27,M,Austin,40.760779,-71.058884,"music, sports, photography",Debate prepare identify couple culture worry simply charge property charge media raise option.,Casual Dating,Ambivert,ENFP,"[876, 359, 391, 677, 846, 984, 455, 304, 457, 806, 392, 751]",422,97,0.89,2023-11-16,High School,Chief Strategy Officer,Aquarius,192,Curvy,"English, French",Women,6,3,False,50,2024-03-04,False
29,Holly Wheeler,50,M,Atlanta,47.606209,-115.139832,"fitness, photography, reading",Various market table customer beyond than above first action tough.,Casual Dating,Ambivert,ISTJ,"[272, 309, 685, 792, 941, 157, 832, 656, 32, 970, 795]",156,68,0.93,2023-04-10,High School,Tree surgeon,Virgo,154,Athletic,"Hindi, Spanish",Everyone,46,6,False,14,2024-03-03,False
30,Ronald Wilson,33,M,Austin,34.052235,-86.158068,"music, reading, cooking",Face another while thought nice heavy.,Networking,Extrovert,ISTJ,"[236, 270, 118, 4, 940, 655, 805, 484, 920, 276]",197,3,0.24,2024-03-27,Master’s,Planning and development surveyor,Leo,160,Slim,"English, Hindi, Spanish",Men,21,4,False,6,2024-03-08,False
31,Kimberly Rogers,35,M,Phoenix,39.099727,-80.19179,"photography, technology, sports",Leave charge expect us result most economy.,Long-term,Introvert,ISFJ,"[444, 437, 896, 299, 231, 367, 80, 512, 807, 791, 188]",246,64,0.34,2023-02-14,PhD,Research scientist (medical),Capricorn,193,Curvy,Hindi,Everyone,6,6,True,86,2024-03-07,False
32,Tammy Curtis,34,M,Columbus,39.739236,-71.058884,"technology, sports, photography",Moment city stay field executive type environment.,Friends,Introvert,ESFJ,"[130, 620, 935, 307, 251, 310, 574, 468, 112, 176, 855, 459]",52,35,0.47,2023-08-16,PhD,Artist,Virgo,183,Slim,"French, Spanish",Men,70,3,True,53,2024-03-26,False
33,Laura Stokes,34,Non-binary,Kansas City,44.977753,-81.694361,"music, reading, travel",Church how network line sign successful.,Networking,Introvert,ENFP,"[20, 276, 331, 146, 353, 526, 749, 137, 541, 258, 639]",447,64,0.91,2023-07-13,PhD,Human resources officer,Aries,173,Athletic,"Mandarin, Spanish, English",Women,31,4,False,107,2024-03-28,True
34,Rachel Ramos,49,Non-binary,Las Vegas,40.760779,-117.161087,"reading, technology, photography",Miss material police amount nation call.,Networking,Extrovert,INTP,"[208, 407, 255, 848, 541]",305,48,0.23,2023-12-19,High School,Site engineer,Virgo,162,Curvy,"Hindi, Mandarin",Women,4,5,False,91,2024-03-26,True
35,Michael Berry,44,Non-binary,Columbus,42.331427,-81.379234,"travel, cooking, technology",Staff dinner matter great fire remember spend big stage.,Long-term,Ambivert,ISTJ,"[891, 525, 934, 371, 226, 779, 769]",89,92,1.0,2024-03-17,Master’s,Sport and exercise psychologist,Capricorn,194,Average,"Mandarin, French",Everyone,92,3,True,23,2024-03-28,False
36,Mason Ayala,19,F,Columbus,40.712776,-81.694361,"photography, cooking, music",Employee concern feel learn build machine own century financial government region.,Networking,Introvert,ESFJ,"[537, 896, 806, 310, 587, 404, 499, 366, 70]",286,77,0.68,2023-06-03,High School,Chief Marketing Officer,Scorpio,174,Slim,"Hindi, Spanish",Men,46,2,True,17,2024-03-17,False
37,Randy Austin,43,F,Salt Lake City,27.950575,-78.638176,"gaming, travel, reading",Nor wait design wrong major subject section lead down cultural.,Friends,Extrovert,ENTP,"[470, 478, 40, 64, 935, 532, 4, 582, 110, 5, 434, 580, 152]",30,22,0.64,2023-12-29,PhD,"Lecturer, further education",Leo,198,Curvy,"Spanish, French",Women,10,4,True,3,2024-03-16,False
38,Victoria Reyes,48,Non-binary,Portland,39.099727,-81.379234,"reading, technology, photography",More visit gun take establish food other artist ball nature need.,Casual Dating,Extrovert,ISTJ,"[354, 659, 732, 592, 997, 590, 410, 4, 360, 220, 502, 493, 16, 409, 847]",352,17,0.35,2023-05-06,Master’s,"Nurse, children's",Libra,151,Average,"French, Hindi",Men,49,6,False,84,2024-03-02,False
39,Jessica Hudson,26,M,Portland,30.267153,-82.998794,"reading, travel, photography",Ground get against maintain skin outside because well operation population.,Casual Dating,Introvert,ISTJ,"[881, 364, 974, 750, 411, 697, 60, 525, 837, 515, 884, 563, 61, 263, 530]",199,20,0.41,2023-03-05,Master’s,"Scientist, product/process development",Aquarius,164,Average,"Spanish, Hindi",Everyone,5,6,True,82,2024-03-04,False
40,Monica Saunders,38,Non-binary,Minneapolis,39.952583,-86.158068,"reading, gaming, travel",Election sell television woman voice morning.,Networking,Extrovert,INFJ,"[26, 579, 433, 422, 13, 117, 568, 10, 651, 634, 773, 702, 829, 760]",455,35,0.32,2023-07-02,High School,Administrator,Sagittarius,197,Athletic,"French, English",Everyone,88,4,True,85,2024-03-31,False
41,David Arnold,31,M,Minneapolis,28.538336,-121.886329,"travel, music, technology",Door difficult remember would main boy case year case.,Casual Dating,Extrovert,ISFJ,"[129, 329, 579, 241, 898, 652, 668, 451, 43, 211, 583, 972, 949]",256,26,0.53,2023-01-02,Master’s,Heritage manager,Aries,158,Curvy,Hindi,Men,3,6,True,13,2024-03-19,False
42,Jason Banks,34,Non-binary,Columbus,28.538336,-82.998794,"photography, travel, reading",Author reveal future technology lose investment education.,Long-term,Ambivert,ENFP,"[677, 36, 996, 499, 848, 37]",266,87,0.74,2023-12-11,Master’s,Chief Technology Officer,Libra,191,Slim,English,Men,74,1,False,5,2024-03-28,True
43,Ethan Villa,48,Non-binary,Chicago,37.338208,-121.886329,"sports, music, technology",Too light reality everybody star class.,Long-term,Introvert,ENFP,"[570, 388, 228, 43, 858, 913, 802, 252, 751]",421,17,0.5,2023-06-22,Master’s,Science writer,Libra,165,Curvy,"Spanish, Mandarin",Men,97,6,True,74,2024-03-06,True
44,Jennifer Reed,24,M,Dallas,39.739236,-81.379234,"sports, technology, travel",Feeling difficult just whom arrive claim hour meet improve building off mention.,Friends,Ambivert,INTP,"[486, 144, 642, 457, 126, 776, 4, 673, 799, 693, 981, 477, 445]",197,99,0.8,2023-04-03,High School,Sports therapist,Aries,183,Slim,French,Everyone,64,3,True,75,2024-03-30,False
45,Lydia Anderson,22,F,San Jose,32.715736,-115.139832,"gaming, technology, cooking",Hundred lot station newspaper over significant organization.,Long-term,Ambivert,INTP,"[31, 375, 974, 173, 34]",444,8,0.24,2023-01-14,Master’s,Operations geologist,Capricorn,195,Curvy,"English, Spanish",Women,90,6,True,103,2024-03-11,False
46,Pamela Williams,38,F,Detroit,47.606209,-71.058884,"travel, gaming, cooking",Part if else beyond partner letter like entire can.,Friends,Introvert,ENFP,"[517, 620, 289, 503, 75, 776, 165]",388,39,0.76,2024-03-11,Master’s,Automotive engineer,Aries,184,Average,"English, Spanish",Everyone,98,5,False,25,2024-03-28,False
47,Carlos Arnold,45,Non-binary,Detroit,36.169941,-96.796989,"photography, technology, art",Difference generation lose increase politics he some civil.,Friends,Introvert,INFJ,"[407, 927, 445, 513, 794, 727, 135, 816, 633, 65]",449,19,0.76,2023-06-23,High School,International aid/development worker,Scorpio,162,Curvy,"Spanish, Hindi",Men,9,3,True,92,2024-03-20,False
