user_id,name,age,gender,location,latitude,longitude,interests,about_me,relationship_goal,personality,MBTI,education_level,occupation,zodiac_sign,height_cm,body_type,languages_spoken,dating_preference,photo_count,is_verified,is_premium_user,daily_active_minutes,last_login,likes_received,likes,blocked,swipes,messages_sent,response_rate,signup_date,negative_samples
1,Kenneth Williams,49,Non-binary,Columbus,40.760779,-93.265015,"gaming, fitness, music",Music trouble represent office consumer course particularly our when.,Networking,Extrovert,ISTJ,PhD,Advertising account planner,Cancer,200,Average,"Mandarin, Spanish, French",Women,6,False,False,81,2024-03-09,52,"[106, 889, 675, 960, 836, 356, 390, 255]","[183, 630, 200, 751, 241]",471,52,0.6,2023-01-25,"[258, 595, 19, 211, 477, 24, 252, 988, 704, 546, 680, 345, 898, 47, 717, 826]"
2,Valerie Santos,39,F,Denver,29.424122,-82.998794,"reading, sports, cooking",Say than call owner system huge control.,Networking,Extrovert,ISFJ,High School,Mental health nurse,Gemini,176,Average,French,Everyone,3,True,False,60,2024-03-03,0,"[578, 591, 670, 713, 965, 125, 373, 717, 532]","[716, 426, 136, 47, 550, 607]",262,61,0.8,2023-05-26,"[515, 32, 492, 493, 887, 399, 785, 680, 444, 930, 248, 7, 134, 98, 748, 415, 227, 694]"
3,Jordan Gardner,39,M,Houston,28.538336,-118.243683,"travel, photography, gaming",Say newspaper since hotel gas read.,Long-term,Extrovert,ENFP,High School,Homeopath,Virgo,163,Slim,"Spanish, French",Women,6,True,False,64,2024-03-14,68,"[308, 813, 249, 215, 939, 184, 702, 72, 589, 315]","[440, 458, 637, 632, 514, 747, 914, 226, 569]",246,44,0.26,2023-10-02,"[328, 456, 384, 722, 118, 134, 409, 234, 647, 927, 669, 807, 765, 345, 561, 202, 912, 948, 250, 15]"
4,Karen Lowe,40,Non-binary,Salt Lake City,38.581572,-115.139832,"gaming, sports, photography",Simple gas campaign project I decision degree beautiful.,Long-term,Introvert,ESFJ,High School,Mental health nurse,Sagittarius,151,Average,French,Everyone,6,True,False,13,2024-03-07,50,"[79, 100, 2, 876, 185, 872, 946, 670, 656, 955, 781, 716, 232, 99, 903]","[599, 562, 929, 982, 482, 92, 760, 221]",11,93,0.67,2023-08-04,"[383, 949, 685, 353, 34, 294, 426, 163, 292, 319, 63, 116, 61, 894, 617, 881, 958, 520, 550, 981, 641, 418, 794, 33, 582, 46, 935, 372, 648, 256]"
5,Susan King,39,F,Raleigh,30.267153,-81.379234,"art, technology, cooking",Hundred such young finally kind list so deep police focus statement daughter wear.,Casual Dating,Introvert,ISFJ,High School,Primary school teacher,Leo,152,Athletic,"Mandarin, French, Spanish",Women,1,True,False,41,2024-03-05,100,"[174, 509, 654, 608, 744, 586, 364, 948, 647, 867]","[98, 388, 162, 560, 603, 594]",291,95,0.77,2023-08-04,"[223, 409, 234, 74, 156, 663, 43, 909, 587, 79, 709, 753, 936, 933, 931, 692, 721, 406, 32, 890]"
6,Zachary Knapp,43,M,Indianapolis,33.448376,-97.743061,"photography, music, gaming",Discover Congress particular its news civil clearly try national theory want former could operation.,Long-term,Ambivert,INTP,Master’s,Financial planner,Scorpio,160,Average,"Mandarin, English",Women,6,True,False,97,2024-03-06,83,"[152, 924, 792, 51, 823, 562, 79, 923, 458, 200, 122, 475]","[263, 522, 651, 403, 311, 615]",360,52,0.6,2023-03-31,"[120, 889, 546, 616, 371, 459, 555, 947, 523, 485, 917, 751, 868, 567, 946, 566, 783, 967, 809, 427, 496, 536, 929, 344]"
7,Jennifer Manning,23,M,Miami,35.779591,-94.578568,"music, sports, art",Action international officer help on nor relate process.,Casual Dating,Ambivert,ISFJ,High School,"Designer, jewellery",Virgo,153,Slim,"English, Hindi",Everyone,1,False,True,19,2024-03-31,27,"[442, 882, 725, 288, 484, 538, 498]","[873, 372, 570, 193, 487, 648, 514]",462,6,0.52,2023-11-06,"[38, 973, 13, 76, 757, 106, 490, 854, 607, 721, 690, 734, 355, 14]"
8,Jesus Thompson,24,Non-binary,San Antonio,44.977753,-83.045753,"gaming, reading, travel",Themselves body miss get again send well support finish window scientist.,Long-term,Extrovert,ISFJ,PhD,Tree surgeon,Cancer,173,Slim,"French, English, Mandarin",Men,4,True,False,106,2024-03-29,54,"[224, 245, 769, 252, 396, 147]","[333, 938, 848, 982, 17, 534, 319, 248, 9]",174,28,0.39,2024-01-27,"[180, 498, 56, 8, 941, 114, 127, 251, 25, 732, 80, 503]"
9,Alyssa Howard,49,Non-binary,San Jose,41.49932,-95.369804,"photography, fitness, sports",Fear movie foot word various view.,Friends,Extrovert,ESFJ,PhD,"Engineer, drilling",Libra,153,Slim,"French, English, Hindi",Women,4,False,False,14,2024-03-01,1,"[808, 362, 453, 845, 605, 824, 582, 680]","[252, 65, 310, 546, 438, 819]",278,10,0.65,2023-09-26,"[30, 43, 313, 627, 638, 387, 918, 363, 850, 952, 309, 378, 878, 681, 242, 162]"
10,Priscilla Freeman,21,F,Philadelphia,28.538336,-95.369804,"art, sports, cooking",But unit voice show thus because.,Friends,Ambivert,ESFJ,PhD,"Geneticist, molecular",Cancer,166,Slim,English,Women,3,True,False,12,2024-03-26,71,"[617, 159, 885, 30, 676, 277, 129, 696, 147, 465]","[149, 439, 710, 811, 357, 954, 412, 246, 281, 318]",56,89,0.67,2023-12-26,"[11, 390, 621, 694, 754, 556, 487, 120, 645, 48, 220, 78, 934, 860, 443, 589, 79, 982, 299, 652]"
